Sitename,Country,Latitude,Longitude,LAI,Time of Measurement,Year_LAI,Methodology/ remarks,Biome,Biomecover,Dominant species,Author,Year_pub,ANPP,BNPP,TNPP,Elevation (m),Age,Remarks/ original source,Unnamed: 19
S. Karelia#8                                                      , Russia             ,62,34,1.8,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,350,65,415,130,22,                                                                                               ,
N/A                                                               , Greenland/Denmark  ,61.1,45.97,1.57,                      N/A ,        N/A , A / C                                                  ,Forest/ BODBL                     , Forest / BoDBL    , Betula pubescens                                         ," Elkington, T.T.; Jones, B.M.G.           ",1974,198,9,207,          120-135 ,-999,                                                                                               ,
N/A                                                               , Russia             ,60.85,128.27,5.7,                      N/A ,1995, C (site-specific)                                      ,BODNL                             , Forest / BoTeDNL  , N/A                                                      ," Schulze, et al.                          ",1995,470,-999,-999,          300-350 ,-999,                                                                                               ,
N/A                                                               , Russia             ,60.85,128.27,1.68,                      N/A ,1995, C (site-specific)                                      ,BODNL                             , Forest / BoTeDNL  , N/A                                                      ," Schulze, et al.                          ",1995,231,-999,-999,          300-350 ,-999,                                                                                               ,
N/A                                                               , Russia             ,60.85,128.27,1.03,                      N/A ,1995, C (site-specific)                                      ,BODNL                             , Forest / BoTeDNL  , N/A                                                      ," Schulze, et al.                          ",1995,140,-999,-999,          300-350 ,-999,                                                                                               ,
"Jadraas, plot C15                                                 ", Sweden             ,60.82,16.5,1.56,                   August ,1990, E (LAI-2000)                                           ,Coniferous Forest                 , Forest / BoENL    , Pinus sylvestris                                         ," Stenberg, P.L. et al.                    ",1994,-999,-999,-999,185,30,control plot (not fertilized)                                                                  ,
"Jadraas, plot C18                                                 ", Sweden             ,60.82,16.5,1.08,                   August ,1990, E (LAI-2000)                                           ,Coniferous Forest                 , Forest / BoENL    , Pinus sylvestris                                         ," Stenberg, P.L. et al.                    ",1994,-999,-999,-999,185,30,control plot (not fertilized)                                                                  ,
Jadraas                                                           , Sweden             ,60.82,16.5,3,                      N/A ,1982, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Linder and Axelsson                      ,1982,1138,296,1434,185,-999,                                                                                               ,
Jadraas                                                           , Sweden             ,60.82,16.5,1.4,                      N/A ,1982, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Linder and Axelsson                      ,1982,348,112,460,185,-999,                                                                                               ,
Ivantjarnsheden/ Jadraas                                          , Sweden             ,60.77,16.65,1.4,                      N/A ,1979, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Persson, H.                              ",1979,371,183,554,-999,-999,                                                                                               ,
Ivantjarnsheden/ Jadraas                                          , Sweden             ,60.77,16.65,3,                      N/A ,1979, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Persson, H.                              ",1979,290,159,449,-999,-999,                                                                                               ,
Andersby                                                          , Sweden             ,60.15,17.82,3.1,                      N/A ,1975, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Hytteborn, H.                            ",1975,688,-999,-999,            25-35 ,-999,                                                                                               ,
Andersby                                                          , Sweden             ,60.15,17.82,3,                      N/A ,1975, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Hytteborn, H.                            ",1975,651,-999,-999,            25-35 ,-999,                                                                                               ,
Andersby                                                          , Sweden             ,60.15,17.82,1.4,                      N/A ,1975, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Hytteborn, H.                            ",1975,339,-999,-999,            25-35 ,-999,                                                                                               ,
Andersby Ang. III                                                 , Sweden             ,60,17,4,                      N/A ,  1968-1973 , 4.0-5.4 reported                                       ,Forest / TeBLD                    , Forest / TeDBL    , Quercus robur                                            ," Hytteborn, H.                            ",1975,723,-999,-999,30,40,                                                                                               ,
N/A                                                               , Canada             ,56.55,-99.03,2.2,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Gower, et al.                            ",1997,262,220,482,-999,-999,                                                                                               ,
N/A                                                               , Canada             ,56.55,-99.03,2.2,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Gower, et al.                            ",1997,196,-999,-999,-999,-999,                                                                                               ,
BOREAS NSA/OJP                                                    , Canada             ,56.55,-99.03,2.2,                   August ,    1994-95 , C (site-specific)                                      ,BOENL                             , Forest / BoENL    , Pinus banksiana                                          , Vogel and Gower                          ,1998,225,-999,-999,-999,-999,                                                                                               ,
Central For. Reserve                                              , Russia             ,56.5,32.67,9.7,                      N/A ,  1967-1973 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Karpov, V.G.                             ",1981,530,120,650,200,110,                                                                                               ,
N/A                                                               , Canada             ,56.47,-98.8,4.2,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Gower, et al.                            ",1997,283,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Canada             ,56.47,-98.8,4.2,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Gower, et al.                            ",1997,226,-999,-999,-999,-999,                                                                                               ,
"Invergowrie, Dundee                                               ", UK                 ,56.46,-3.07,5.27,                      N/A ,1987, A                                                      ,CROPS                             , Crops             , Solanum tuberosum                                        ," Jefferies, R.A. and D.K.L. Mackerron     ",1989,417,1337,1754,-999,-999,irrigated treatment                                                                            ,
"Invergowrie, Dundee                                               ", UK                 ,56.46,-3.07,4.05,                      N/A ,1986, A                                                      ,CROPS                             , Crops             , Solanum tuberosum                                        ," Jefferies, R.A. and D.K.L. Mackerron     ",1989,250,1017,1267,-999,-999,irrigated treatment                                                                            ,
"Invergowrie, Dundee                                               ", UK                 ,56.46,-3.07,3.09,                      N/A ,1987, A                                                      ,CROPS                             , Crops             , Solanum tuberosum                                        ," Jefferies, R.A. and D.K.L. Mackerron     ",1989,183,750,933,-999,-999,drought treatment                                                                              ,
"Invergowrie, Dundee                                               ", UK                 ,56.46,-3.07,2.27,                      N/A ,1986, A                                                      ,CROPS                             , Crops             , Solanum tuberosum                                        ," Jefferies, R.A. and D.K.L. Mackerron     ",1989,142,608,750,-999,-999,drought treatment                                                                              ,
N/A                                                               , Canada             ,56.42,-98.07,2.2,                     July ,1994, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Gower, et al.                            ",1997,721,130,851,-999,-999,                                                                                               ,
N/A                                                               , Canada             ,56.42,-98.07,2.2,                     July ,1994, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Gower, et al.                            ",1997,514,-999,-999,-999,-999,                                                                                               ,
Hestehaven                                                        , Denmark            ,56.3,10.48,5,                      N/A ,1970, A/B                                                    ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Holm, E. and V. Jensen                   ",1972,1499,375,1874,11,85,                                                                                               ,
N/A                                                               , Denmark            ,56,12.33,4.3,                      N/A ,1945, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Moller                                   ,1945,1290,-999,-999,200,-999,                                                                                               ,
N/A                                                               , Denmark            ,56,12.33,4.1,                      N/A ,1945, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Moller                                   ,1945,1160,-999,-999,200,-999,                                                                                               ,
N/A                                                               , Denmark            ,56,12.33,5.4,                      N/A ,1945, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Moller                                   ,1945,1020,-999,-999,200,-999,                                                                                               ,
N/A                                                               , Denmark            ,56,12.33,5,                      N/A ,1945, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Moller                                   ,1945,990,-999,-999,200,-999,                                                                                               ,
N/A                                                               , Denmark            ,56,12.33,6.6,                      N/A ,1945, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Moller                                   ,1945,750,-999,-999,200,-999,                                                                                               ,
N/A                                                               , Denmark            ,56,12.33,5.4,                      N/A ,1945, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Moller                                   ,1945,700,-999,-999,200,-999,                                                                                               ,
N/A                                                               , Denmark            ,56,9,5.4,                      N/A ,        N/A , X                                                      ,Plantation / beech                , Plantation        , Fagus sylvatica                                          ," Moeller, C.M., et al.                    ",1954,-999,-999,1276,-999,-999,                                                                                               ,
N/A                                                               , Canada             ,56,-97.34,0.28,                     July ,1994, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , N/A                                                      , Gower et al..                            ,2000,175,-999,-999,-999,-999,"Unpublished manuscript. S.T. Gower, pers. comm.                                                ",
Kongalund/spruce                                                  , Sweden             ,55.98,13.17,11.5,                      N/A ,  1966-1969 , B                                                      ,Plantation /  BoNLE               , Plantation        , Picea abies                                              ," Andersson, F.                            ",1973,1370,260,1630,120,60,                                                                                               ,
Kongalund/beech                                                   , Sweden             ,55.98,13.17,3.4,                      N/A ,  1966-1969 , B                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Andersson, F.                            ",1973,1540,240,1780,120,45,                                                                                               ,
N/A                                                               , Canada             ,55.95,-97.5,0.36,                     July ,1994, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , Populus tremuloides                                      , Gower et al..                            ,2000,320,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.92,-97.69,0.95,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,66,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA/OJP, Thompson                                          ", Canada             ,55.92,-98.62,4.38,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , Pinus banksiana                                          , Gower et al..                            ,2000,27,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.91,-98.26,0.69,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,153,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.91,-98.28,0.9,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,86,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA/OBS?, Thompson                                         ", Canada             ,55.91,-98.45,4.06,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , Picea mariana                                            , Gower et al..                            ,2000,157,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.91,-98.52,8.41,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,423,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.89,-98.23,1.25,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,71,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA/OA, Thompson                                           ", Canada             ,55.89,-98.88,1.06,                     July ,1994, C (site-specific)                                      ,BODBL                             , Forest / BoDBL    , Populus tremuloides                                      , Gower et al..                            ,2000,283,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.89,-99.03,1.24,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,95,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.88,-98.19,3.35,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,183,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.85,-97.75,1.16,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,76,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.85,-98.35,2,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,146,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
"BOREAS NSA, Thompson                                              ", Canada             ,55.8,-98,6.21,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,253,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
Langarod                                                          , Sweden             ,55.75,13.92,3.2,                      N/A ,  1966-1969 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Andersson, F.                            ",1973,1060,170,1230,150,100,                                                                                               ,
"BOREAS NSA, Thompson                                              ", Canada             ,55.75,-97.8,5.44,                     July ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,299,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
Linnbjer                                                          , Sweden             ,55.73,13.3,5.4,                      N/A ,  1964-1968 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus robur                                            ," Andersson, F.                            ",1973,1290,230,1520,60,125,                                                                                               ,
Oved                                                              , Sweden             ,55.7,13.63,4.3,                      N/A ,  1966-1969 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Andersson, F.                            ",1973,1670,230,1900,60,80,                                                                                               ,
N/A                                                               , Russia             ,55.5,37.75,16,                      N/A ,        N/A , X                                                      ,Forest                            , Forest / TeDBL    , Quercus and others                                       ," Dylis, N.                                ",1971,1235,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Denmark            ,55.43,11.57,5.4,                      N/A ,1932, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Boysen-Jensen, P.                        ",1932,740,-999,-999,25,-999,                                                                                               ,
"Moffat, Scotland                                                  ", UK                 ,55.32,-3.55,9.1,                      N/A ,1979, X                                                      ,Plantation / TEENL                , Plantation        , Picea sitchensis                                         ," Deans, J.D.                              ",1979,2674,843,-999,355,-999,                                                                                               ,
Hartlepool                                                        , UK                 ,54.67,-1.33,3.6,                      N/A ,1969, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Hughes, M.K.                             ",1969,672,-999,-999,67,-999,                                                                                               ,
N/A                                                               , Canada             ,54.65,-105.2,5.6,                   August ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Gower, et al.                            ",1997,310,260,570,-999,-999,                                                                                               ,
N/A                                                               , Canada             ,54.65,-105.2,5.6,                   August ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      ," Gower, et al.                            ",1997,294,-999,-999,-999,-999,                                                                                               ,
"Meathop, Cumbria                                                  ", UK                 ,54.21,-2.89,5.3,                      N/A ,  1967-1972 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus spp                                              ," Bunce, R.G.                              ",1968,992,269,1261,45,80,                                                                                               ,
N/A                                                               , Canada             ,54.11,-105.05,3.49,                   August ,1994, C (site-specific)                                      ,BOENL                             , Forest / BoENL    , N/A                                                      , Gower et al..                            ,2000,477,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
